х1,х2,х3,х4,х5,х6,х7,х8,У
6.91,36.6,0.91,7.42,0.52,9.27,7.39,0.17,0
7.14,36.51,0.77,7.43,0.54,8.6,7.18,0.17,0
7.07,36.54,2.03,7.37,0.56,8.89,7.3,0.17,0
7.26,36.46,2.85,7.54,0.53,9.14,6.95,0.17,0
6.85,36.63,5.3,7.55,0.59,8.67,7.28,0.19,1
6.82,36.64,4.83,7.41,0.54,9.18,7.04,0.18,0
7.45,36.39,1.33,7.54,0.57,7.87,7.28,0.17,0
6.91,36.6,2.31,7.54,0.56,9.11,7.24,0.18,0
6.08,36.94,0.05,7.46,0.55,9.76,7.24,0.17,1
7.15,36.51,5.29,7.45,0.5,8.96,7.16,0.18,0
7.02,36.56,1.51,7.53,0.61,8.21,7.33,0.17,0
7.25,36.47,1.53,7.46,0.6,8.83,7.33,0.17,0
6.74,36.67,2.82,7.53,0.54,7.16,7.09,0.18,0
7.15,36.51,3.03,7.51,0.61,9.15,6.85,0.18,0
6.88,36.61,1.77,7.44,0.6,9.95,6.92,0.17,0
6.97,36.58,0.34,7.52,0.6,8.93,7.39,0.17,0
7.09,36.53,2.17,7.56,0.54,7.94,7.37,0.17,0
7.25,36.47,2.7,7.44,0.6,8.18,7.39,0.18,0
7.01,36.56,0.85,7.57,0.56,7.87,7.67,0.17,1
7.06,36.55,0.57,7.58,0.59,7.38,7.22,0.17,0
6.99,36.57,2.56,7.5,0.56,9.18,7.35,0.18,0
6.89,36.61,3.33,7.37,0.57,8.45,7.18,0.18,0
6.6,36.73,4.79,7.55,0.54,8.06,7.33,0.18,0
6.89,36.61,1.95,7.43,0.53,8.13,7.21,0.18,0
6.71,36.69,1.72,7.4,0.57,8.18,6.94,0.17,0
7.35,36.43,1.02,7.58,0.58,8.82,7.24,0.17,0
6.73,36.68,2.95,7.53,0.55,7.95,7.02,0.17,0
7.57,36.34,2.8,7.45,0.6,8.99,7.26,0.18,0
7.23,36.48,3.18,7.39,0.62,8.73,7.31,0.17,0
7.3,36.45,3.35,7.47,0.58,8.7,7.03,0.18,0
7.28,36.46,0.9,7.47,0.54,8.39,7.2,0.17,0
6.57,36.74,2.24,7.59,0.55,8.42,7.33,0.18,0
7.54,36.35,3.63,7.52,0.57,7.97,7.11,0.17,0
7.05,36.55,3.58,7.56,0.53,7.95,6.79,0.18,0
7.15,36.51,4.51,7.42,0.54,8.09,6.81,0.18,0
6.95,36.59,2.39,7.51,0.62,8.85,7.25,0.17,0
6.92,36.6,3.42,7.51,0.55,7.75,7.45,0.17,1
6.31,36.84,3.87,7.58,0.58,8.01,7.05,0.18,0
6.34,36.83,4.22,7.28,0.52,9.81,7.45,0.19,1
7.11,36.52,2.64,7.45,0.54,7.82,7.18,0.17,0
6.78,36.65,0.99,7.5,0.57,9.33,7.55,0.17,1
7.09,36.53,2.08,7.49,0.59,9.13,7.45,0.17,1
6.87,36.62,1.55,7.45,0.51,9.03,7.32,0.17,0
